                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       КР 24/25 ФК Ростов - ФК Зенит
Объект:     Стадион Ростов Арена
Дата матча: 12.03.2025 03:15:00 +03:00
Дата формирования отчета: 13.03.2025 08:23:10 +03:00

1. КОЛИЧЕСТВО БИЛЕТОВ

                                            Всего                 Билетов              Абонементов
Количество билетов, всего:              37796   100.0%         37796   100.0%             0     0.0%
    действительных:                     37641    99.6%         37641    99.6%             0     0.0%
    отмененных:                           155     0.4%           155     0.4%             0     0.0%

Количество билетов, всего:              37796   100.0%         37796   100.0%             0     0.0%
    использованных успешно:             28562    75.6%         28562    75.6%             0     0.0%
    использованных неуспешно:             359     0.9%           359     0.9%             0     0.0%
    не использованных:                   8875    23.5%          8875    23.5%             0     0.0%


2. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ВРЕМЕНИ

   Период времени    Кол-во входов       В %
-------------------- ------------- ---------------
ВСЕГО                        29141          100.0%
11:00:00 - 11:09:59             19            0.1%
11:10:00 - 11:19:59              4            0.0%
11:20:00 - 11:29:59              7            0.0%
11:30:00 - 11:39:59              6            0.0%
11:40:00 - 11:49:59              0            0.0%
11:50:00 - 11:59:59              0            0.0%
12:00:00 - 12:09:59              0            0.0%
12:10:00 - 12:19:59              0            0.0%
12:20:00 - 12:29:59              0            0.0%
12:30:00 - 12:39:59              0            0.0%
12:40:00 - 12:49:59              0            0.0%
12:50:00 - 12:59:59              0            0.0%
13:00:00 - 13:09:59              0            0.0%
13:10:00 - 13:19:59              0            0.0%
13:20:00 - 13:29:59              0            0.0%
13:30:00 - 13:39:59              0            0.0%
13:40:00 - 13:49:59              0            0.0%
13:50:00 - 13:59:59              0            0.0%
14:00:00 - 14:09:59              0            0.0%
14:10:00 - 14:19:59              0            0.0%
14:20:00 - 14:29:59              1            0.0%
14:30:00 - 14:39:59              5            0.0%
14:40:00 - 14:49:59              0            0.0%
14:50:00 - 14:59:59              0            0.0%
15:00:00 - 15:09:59              0            0.0%
15:10:00 - 15:19:59              0            0.0%
15:20:00 - 15:29:59              0            0.0%
15:30:00 - 15:39:59              0            0.0%
15:40:00 - 15:49:59              0            0.0%
15:50:00 - 15:59:59              0            0.0%
16:00:00 - 16:09:59              0            0.0%
16:10:00 - 16:19:59            184            0.6%
16:20:00 - 16:29:59            212            0.7%
16:30:00 - 16:39:59            333            1.1%
16:40:00 - 16:49:59            471            1.6%
16:50:00 - 16:59:59           1032            3.5%
17:00:00 - 17:09:59           1347            4.6%
17:10:00 - 17:19:59           1638            5.6%
17:20:00 - 17:29:59           2109            7.2%
17:30:00 - 17:39:59           2639            9.1%
17:40:00 - 17:49:59           2733            9.4%
17:50:00 - 17:59:59           2705            9.3%
18:00:00 - 18:09:59           2891            9.9%
18:10:00 - 18:19:59           3155           10.8%
18:20:00 - 18:29:59           2910           10.0%
18:30:00 - 18:39:59           2482            8.5%
18:40:00 - 18:49:59           1258            4.3%
18:50:00 - 18:59:59            570            2.0%
19:00:00 - 19:09:59            189            0.6%
19:10:00 - 19:19:59            142            0.5%
19:20:00 - 19:29:59             57            0.2%
19:30:00 - 19:39:59             32            0.1%
19:40:00 - 19:49:59              9            0.0%
19:50:00 - 19:59:59              0            0.0%
20:00:00 - 20:09:59              1            0.0%


3. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ТОЧКАМ ДОСТУПА

               КПП                  Турникет                    Успешно      В %      Неуспешно     В %
------------------------- ----------------------------------- ---------- ----------- ---------- -----------
 ВСЕГО                                                             29141      100.0%       2011        6.5%
RND.G1/КПП G1              ВСЕГО                                   16138       55.4%       1040        6.1%
RND.G1/КПП G1             RND.G1.MT1/Мобильный терминал 1            373        1.3%         47       11.2%
RND.G1/КПП G1             RND.G1.MT2/Мобильный терминал 2            540        1.9%         41        7.1%
RND.G1/КПП G1             RND.G1.TD1/Точка доступа 1                 616        2.1%         52        7.8%
RND.G1/КПП G1             RND.G1.TD2/Точка доступа 2                 776        2.7%         41        5.0%
RND.G1/КПП G1             RND.G1.TD3/Точка доступа 3                 886        3.0%         42        4.5%
RND.G1/КПП G1             RND.G1.TD4/Точка доступа 4                 837        2.9%         58        6.5%
RND.G1/КПП G1             RND.G1.TD5/Точка доступа 5                 816        2.8%         56        6.4%
RND.G1/КПП G1             RND.G1.TD6/Точка доступа 6                 840        2.9%         35        4.0%
RND.G1/КПП G1             RND.G1.TD7/Точка доступа 7                 815        2.8%         46        5.3%
RND.G1/КПП G1             RND.G1.TD8/Точка доступа 8                 793        2.7%         51        6.0%
RND.G1/КПП G1             RND.G1.TD9/Точка доступа 9                 831        2.9%         50        5.7%
RND.G1/КПП G1             RND.G1.TD10/Точка доступа 10               902        3.1%         48        5.1%
RND.G1/КПП G1             RND.G1.TD11/Точка доступа 11               795        2.7%         26        3.2%
RND.G1/КПП G1             RND.G1.TD12/Точка доступа 12               804        2.8%         33        3.9%
RND.G1/КПП G1             RND.G1.TD13/Точка доступа 13               821        2.8%         39        4.5%
RND.G1/КПП G1             RND.G1.TD14/Точка доступа 14               823        2.8%         44        5.1%
RND.G1/КПП G1             RND.G1.TD15/Точка доступа 15               832        2.9%         55        6.2%
RND.G1/КПП G1             RND.G1.TD16/Точка доступа 16               750        2.6%         45        5.7%
RND.G1/КПП G1             RND.G1.TD17/Точка доступа 17               783        2.7%         40        4.9%
RND.G1/КПП G1             RND.G1.TD18/Точка доступа 18               500        1.7%         28        5.3%
RND.G1/КПП G1             RND.G1.MT3/Мобильный терминал 3            463        1.6%         87       15.8%
RND.G1/КПП G1             RND.G1.MT4/Мобильный терминал 4            542        1.9%         76       12.3%
RND.G2VIP/КПП G2VIP        ВСЕГО                                    1319        4.5%         54        3.9%
RND.G2VIP/КПП G2VIP       RND.G2VIP.TD1/Точка доступа 1              447        1.5%         15        3.2%
RND.G2VIP/КПП G2VIP       RND.G2VIP.TD2/Точка доступа 2              333        1.1%         13        3.8%
RND.G2VIP/КПП G2VIP       RND.G2VIP.TD3/Точка доступа 3              539        1.8%         26        4.6%
RND.G4/КПП G4              ВСЕГО                                    2203        7.6%        141        6.0%
RND.G4/КПП G4             RND.G4.MT1/Мобильный терминал 1            705        2.4%         39        5.2%
RND.G4/КПП G4             RND.G4.TD1/Точка доступа 1                 471        1.6%         32        6.4%
RND.G4/КПП G4             RND.G4.TD2/Точка доступа 2                 481        1.7%         44        8.4%
RND.G4/КПП G4             RND.G4.TD3/Точка доступа 3                 546        1.9%         26        4.5%
RND.G5/КПП G5              ВСЕГО                                    3270       11.2%        195        5.6%
RND.G5/КПП G5             RND.G5.MT1/Мобильный терминал 1           1006        3.5%         84        7.7%
RND.G5/КПП G5             RND.G5.TD1/Точка доступа 1                 811        2.8%         34        4.0%
RND.G5/КПП G5             RND.G5.TD3/Точка доступа 3                 654        2.2%         34        4.9%
RND.G5/КПП G5             RND.G5.TD2/Точка доступа 2                 737        2.5%         40        5.1%
RND.G5/КПП G5             RND.G5.MT2/Мобильный терминал 2             62        0.2%          3        4.6%
RND.G2/КПП G2              ВСЕГО                                       2        0.0%          2       50.0%
RND.G2/КПП G2             RND.G2.MT1/Мобильный терминал 1              2        0.0%          2       50.0%
RND.G7/КПП G7              ВСЕГО                                    2754        9.5%        135        4.7%
RND.G7/КПП G7             RND.G7.MT1/Мобильный терминал 1            241        0.8%         34       12.4%
RND.G7/КПП G7             RND.G7.TD1/Точка доступа 1                 782        2.7%         20        2.5%
RND.G7/КПП G7             RND.G7.TD2/Точка доступа 2                 704        2.4%         32        4.3%
RND.G7/КПП G7             RND.G7.TD3/Точка доступа 3                 641        2.2%         23        3.5%
RND.G7/КПП G7             RND.G7.MT2/Мобильный терминал 2            386        1.3%         26        6.3%
RND.G8/КПП G8              ВСЕГО                                    2384        8.2%        119        4.8%
RND.G8/КПП G8             RND.G8.MT2/Мобильный терминал 2            822        2.8%         53        6.1%
RND.G8/КПП G8             RND.G8.TD1/Точка доступа 1                   2        0.0%          0        0.0%
RND.G8/КПП G8             RND.G8.TD2/Точка доступа 2                   1        0.0%          0        0.0%
RND.G8/КПП G8             RND.G8.TD3/Точка доступа 3                   1        0.0%          0        0.0%
RND.G8/КПП G8             RND.G8.TD4/Точка доступа 4                   1        0.0%          0        0.0%
