                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       Акрон (г. Тольятти) - Спартак (г. Москва)
Объект:     Стадион Самара Арена
Дата матча: 12.03.2025 17:00:00 +04:00
Дата формирования отчета: 13.03.2025 09:33:55 +04:00

1. КОЛИЧЕСТВО БИЛЕТОВ

                                            Всего                 Билетов              Абонементов
Количество билетов, всего:              10626   100.0%         10626   100.0%             0     0.0%
    действительных:                     10432    98.2%         10432    98.2%             0     0.0%
    отмененных:                           194     1.8%           194     1.8%             0     0.0%

Количество билетов, всего:              10626   100.0%         10626   100.0%             0     0.0%
    использованных успешно:              2960    27.9%          2960    27.9%             0     0.0%
    использованных неуспешно:              15     0.1%            15     0.1%             0     0.0%
    не использованных:                   7651    72.0%          7651    72.0%             0     0.0%


2. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ВРЕМЕНИ

   Период времени    Кол-во входов       В %
-------------------- ------------- ---------------
ВСЕГО                         3028          100.0%
14:30:00 - 14:39:59             13            0.4%
14:40:00 - 14:49:59             13            0.4%
14:50:00 - 14:59:59              1            0.0%
15:00:00 - 15:09:59             39            1.3%
15:10:00 - 15:19:59             13            0.4%
15:20:00 - 15:29:59             25            0.8%
15:30:00 - 15:39:59             85            2.8%
15:40:00 - 15:49:59             79            2.6%
15:50:00 - 15:59:59            172            5.7%
16:00:00 - 16:09:59            248            8.2%
16:10:00 - 16:19:59            299            9.9%
16:20:00 - 16:29:59            416           13.7%
16:30:00 - 16:39:59            438           14.5%
16:40:00 - 16:49:59            480           15.9%
16:50:00 - 16:59:59            340           11.2%
17:00:00 - 17:09:59            193            6.4%
17:10:00 - 17:19:59             81            2.7%
17:20:00 - 17:29:59             48            1.6%
17:30:00 - 17:39:59             19            0.6%
17:40:00 - 17:49:59             13            0.4%
17:50:00 - 17:59:59              5            0.2%
18:00:00 - 18:09:59              6            0.2%
18:10:00 - 18:19:59              2            0.1%


3. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ТОЧКАМ ДОСТУПА

               КПП                  Турникет                    Успешно      В %      Неуспешно     В %
------------------------- ----------------------------------- ---------- ----------- ---------- -----------
 ВСЕГО                                                              3028      100.0%        269        8.2%
SMR.G1/КПП G1              ВСЕГО                                     275        9.1%         34       11.0%
SMR.G1/КПП G1             SMR.G1.TD1/Точка доступа 1                  60        2.0%          5        7.7%
SMR.G1/КПП G1             SMR.G1.TD2/Точка доступа 2                  57        1.9%          4        6.6%
SMR.G1/КПП G1             SMR.G1.TD3/Точка доступа 3                 115        3.8%         12        9.4%
SMR.G1/КПП G1             SMR.G1.TD4/Точка доступа 4                  28        0.9%          9       24.3%
SMR.G1/КПП G1             SMR.G1.TD29/ТДМГН 1                         15        0.5%          4       21.1%
SMR.G2/КПП G2              ВСЕГО                                     612       20.2%         35        5.4%
SMR.G2/КПП G2             SMR.G2.TD14/Точка доступа 14               135        4.5%          8        5.6%
SMR.G2/КПП G2             SMR.G2.TD15/Точка доступа 15                98        3.2%          7        6.7%
SMR.G2/КПП G2             SMR.G2.TD16/Точка доступа 16                49        1.6%          2        3.9%
SMR.G2/КПП G2             SMR.G2.TD17/Точка доступа 17                97        3.2%          2        2.0%
SMR.G2/КПП G2             SMR.G2.TD18/Точка доступа 18                44        1.5%          2        4.3%
SMR.G2/КПП G2             SMR.G2.TD19/Точка доступа 19                12        0.4%          1        7.7%
SMR.G2/КПП G2             SMR.G2.TD20/Точка доступа 20                38        1.3%          1        2.6%
SMR.G2/КПП G2             SMR.G2.TD21/Точка доступа 21                21        0.7%          3       12.5%
SMR.G2/КПП G2             SMR.G2.TD22/Точка доступа 22                 9        0.3%          0        0.0%
SMR.G2/КПП G2             SMR.G2.TD23/Точка доступа 23                40        1.3%          2        4.8%
SMR.G2/КПП G2             SMR.G2.TD24/Точка доступа 24                64        2.1%          6        8.6%
SMR.G2/КПП G2             SMR.G2.TD25/ТДМГН 1                          1        0.0%          1       50.0%
SMR.G2/КПП G2             SMR.G2.TD26/ТДМГН 2                          4        0.1%          0        0.0%
SMR.G3/КПП G3              ВСЕГО                                    1161       38.3%         89        7.1%
SMR.G3/КПП G3             SMR.G3.TD2/Точка доступа 2                 160        5.3%         13        7.5%
