                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       ФК «Локомотив» - ФК «Ахмат»
Объект:     Локомотив внутренний периметр
Дата матча: 15.04.2025 16:00:00 +03:00
Дата формирования отчета: 16.04.2025 08:39:39 +03:00


Вошло зрителей внешн:                  7850
Вышло зрителей внешн:                   145
Вошло зрителей внутр:                  7961
Вышло зрителей внутр:                  1014


1. КОЛИЧЕСТВО БИЛЕТОВ

                                            Всего                 Билетов              Абонементов
Количество билетов, всего:              11642   100.0%         10545    90.6%          1097     9.4%
    действительных:                     11473    98.5%         10432    89.6%          1041     8.9%
    отмененных:                           169     1.5%           113     1.0%            56     0.5%

Количество билетов, всего:              11642   100.0%         10545    90.6%          1097     9.4%
    использованных успешно:              7960    68.4%          7469    64.2%           491     4.2%
    использованных неуспешно:              27     0.2%            25     0.2%             2     0.0%
    не использованных:                   3655    31.4%          3051    26.2%           604     5.2%


2. КОЛИЧЕСТВО БИЛЕТОВ ПО СЕКТОРАМ

  Сектор                                  Количество
---------------------------------------- -------------
Premium Lounge                                     306
VIP пилон Восток                                    75
VIP пилон Север                                     47
VIP пилон Юг                                        72
VIP Тбау                                           177
Верхний ярус, Сектор 1                               5
Верхний ярус, Сектор 10                            183
Верхний ярус, Сектор 2                             401
Верхний ярус, Сектор 3                             431
Верхний ярус, Сектор 4                             340
Верхний ярус, Сектор 5                               3
Верхний ярус, Сектор 6                             186
Верхний ярус, Сектор 7                             242
Верхний ярус, Сектор 8                             268
Верхний ярус, Сектор 9                             244
Детский клуб                                         2
Ложа 1                                              25
Ложа 10                                             10
Ложа 14                                             12
Ложа 17                                             24
Ложа 18                                             10
Ложа 19                                             11
Ложа 2                                              24
Ложа 20                                             10
Ложа 21                                             11
Ложа 22                                             14
Ложа 23                                              8
Ложа 24                                             11
Ложа 26                                             31
Ложа 29                                             10
Ложа 3                                              24
Ложа 30                                             12
Ложа 33                                             10
Ложа 34                                             25
Ложа 35                                             12
Ложа 36                                             11
Ложа 38                                             10
Ложа 39                                             12
Ложа 4                                              24
Ложа 40                                             16
Ложа 41                                             20
Ложа 42                                             10
Ложа 43                                             10
Ложа 44                                             10
Ложа 44А                                            12
Ложа 45                                             24
Ложа 46                                             10
Ложа 47                                             12
Ложа 48                                             10
Ложа 49                                             10
Ложа 5                                              24
Ложа 50                                             24
