                 СТАТИСТИКА ПО БИЛЕТАМ

Игра:       СОЧИ - ЕНИСЕЙ
Объект:     Стадион Фишт
Дата матча: 31.03.2025 00:00:00 +03:00
Дата формирования отчета: 31.03.2025 20:55:27 +03:00

1. КОЛИЧЕСТВО БИЛЕТОВ

                                            Всего                 Билетов              Абонементов
Количество билетов, всего:               4406   100.0%          4132    93.8%           274     6.2%
    действительных:                      4368    99.1%          4094    92.9%           274     6.2%
    отмененных:                            38     0.9%            38     0.9%             0     0.0%

Количество билетов, всего:               4406   100.0%          4132    93.8%           274     6.2%
    использованных успешно:              3062    69.5%          2967    67.3%            95     2.2%
    использованных неуспешно:               3     0.1%             3     0.1%             0     0.0%
    не использованных:                   1341    30.4%          1162    26.4%           179     4.1%


2. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ВРЕМЕНИ

   Период времени    Кол-во входов       В %
-------------------- ------------- ---------------
ВСЕГО                         3121          100.0%
17:10:00 - 17:19:59              1            0.0%
17:20:00 - 17:29:59              0            0.0%
17:30:00 - 17:39:59             56            1.8%
17:40:00 - 17:49:59             63            2.0%
17:50:00 - 17:59:59            113            3.6%
18:00:00 - 18:09:59            171            5.5%
18:10:00 - 18:19:59            190            6.1%
18:20:00 - 18:29:59            391           12.5%
18:30:00 - 18:39:59            430           13.8%
18:40:00 - 18:49:59            471           15.1%
18:50:00 - 18:59:59            520           16.7%
19:00:00 - 19:09:59            332           10.6%
19:10:00 - 19:19:59            148            4.7%
19:20:00 - 19:29:59             96            3.1%
19:30:00 - 19:39:59             85            2.7%
19:40:00 - 19:49:59             16            0.5%
19:50:00 - 19:59:59              5            0.2%
20:00:00 - 20:09:59             24            0.8%
20:10:00 - 20:19:59              3            0.1%
20:20:00 - 20:29:59              3            0.1%
20:30:00 - 20:39:59              3            0.1%


3. РАСПРЕДЕЛЕНИЕ ВХОДОВ ПО БИЛЕТАМ ПО ТОЧКАМ ДОСТУПА

               КПП                  Турникет                    Успешно      В %      Неуспешно     В %
------------------------- ----------------------------------- ---------- ----------- ---------- -----------
 ВСЕГО                                                              3121      100.0%        263        7.8%
SCH.G1/КПП G1              ВСЕГО                                      52        1.7%         28       35.0%
SCH.G1/КПП G1             SCH.G1.MT1/Мобильный терминал 1             29        0.9%         14       32.6%
SCH.G1/КПП G1             SCH.G1.MT3/Мобильный терминал 3              5        0.2%          6       54.5%
SCH.G1/КПП G1             SCH.G1.MT4/Мобильный терминал 4             18        0.6%          8       30.8%
SCH.G2/КПП G2              ВСЕГО                                      15        0.5%          2       11.8%
SCH.G2/КПП G2             SCH.G2.MT1/Мобильный терминал 1             15        0.5%          2       11.8%
SCH.G3/КПП G3              ВСЕГО                                      43        1.4%          3        6.5%
SCH.G3/КПП G3             SCH.G3.MT2/Мобильный терминал 2             43        1.4%          3        6.5%
SCH.G4/КПП G4              ВСЕГО                                     802       25.7%         59        6.9%
SCH.G4/КПП G4             SCH.G4.TD2/Точка доступа 2                 348       11.2%         22        5.9%
SCH.G4/КПП G4             SCH.G4.TD3/Точка доступа 3                 188        6.0%         13        6.5%
SCH.G4/КПП G4             SCH.G4.TD4/Точка доступа 4                 263        8.4%         23        8.0%
SCH.G4/КПП G4             SCH.G4.MT2/Мобильный терминал 2              3        0.1%          1       25.0%
SCH.G5/КПП G5              ВСЕГО                                      42        1.3%          4        8.7%
SCH.G5/КПП G5             SCH.G5.TD1/Точка доступа 1                  42        1.3%          4        8.7%
SCH.G6/КПП G6              ВСЕГО                                    1719       55.1%        155        8.3%
SCH.G6/КПП G6             SCH.G6.TD5/Точка доступа 5                 122        3.9%          4        3.2%
SCH.G6/КПП G6             SCH.G6.TD6/Точка доступа 6                 234        7.5%         13        5.3%
SCH.G6/КПП G6             SCH.G6.TD7/Точка доступа 7                 326       10.4%         26        7.4%
SCH.G6/КПП G6             SCH.G6.TD8/Точка доступа 8                 274        8.8%         27        9.0%
SCH.G6/КПП G6             SCH.G6.TD9/Точка доступа 9                 358       11.5%         51       12.5%
SCH.G6/КПП G6             SCH.G6.TD10/Точка доступа 10               405       13.0%         34        7.7%
SCH.VSA1/КПП VSA1          ВСЕГО                                      75        2.4%          1        1.3%
SCH.VSA1/КПП VSA1         SCH.VSA1.MT1/Мобильный терминал 1           66        2.1%          1        1.5%
SCH.VSA1/КПП VSA1         SCH.VSA1.MT2/Мобильный терминал 2            9        0.3%          0        0.0%
SCH.VSA2/КПП VSA2          ВСЕГО                                      12        0.4%          0        0.0%
SCH.VSA2/КПП VSA2         SCH.VSA2.MT4/Мобильный терминал 4           12        0.4%          0        0.0%
SCH.G8/КПП G8              ВСЕГО                                     361       11.6%         11        3.0%
SCH.G8/КПП G8             SCH.G8.TD7/Точка доступа 7                 361       11.6%         11        3.0%


4. РАСПРЕДЕЛЕНИЕ СОБЫТИЙ ВХОДОВ ПО БИЛЕТАМ

Всего событий:       3384

          Событие                   Количество     В %
----------------------------------- ---------- -----------
Проход                                    3118       92.1%
Попытка повторного прохода                 233        6.9%
Неверный вход                               22        0.7%
Отказ от прохода                             8        0.2%
Проход в автономном режиме                   3        0.1%
